sp2,0.0035,0.9736,0.8652,0.0181,0.8946, 0.929, 0.9118,0.9848,0.012,0.0026,0.1005, 0.1258, 0.1131,0.8184
circ2,0.0026,0.9775,0.932,0.0088,0.5313, 0.5866, 0.5589,0.1239,0.034,0.0006,0.3428, 0.3556, 0.3492,8.4933
ring2,0.0026,0.9852,0.9581,0.0054,0.8082, 0.8126, 0.8104,0.4120,0.052,0.0002,0.1987, 0.3462, 0.2724,5.3769
cone2,0.6526,0.8748,0.3136,0.1306,0.6545, 1.1586, 0.9065,0.9611,0.016,0.1594,0.1425, 0.1524, 0.1475,0.9888
clust2,0.002,0.7888,0.1124,0.1995,0.4514, 1.0893, 0.7703,0.8971,0.156,0.5064,0.3743, 0.3829, 0.3786,1.4874
clust_ue2,0.0249,0.7797,0.1102,0.2004,0.441, 1.1225, 0.7818,0.9015,0.196,0.5141,0.3749, 0.3916, 0.3833,1.4215
clust_s2,0.0109,0.9295,0.0915,0.2081,0.3719, 0.8156, 0.5937,0.8312,0.17,0.5902,0.5538, 0.8784, 0.7161,1.9226
