sp2,0.0036,0.9613,0.9118,0.0115,0.0106,0.9749,0.024,0.0011,0.0169,0.9267
circ2,0.0027,0.9737,0.9021,0.0129,0.1891,0.1323,0.012,0.0013,0.1349,7.4573
ring2,0.0027,0.9801,0.8552,0.0195,0.0465,0.3996,0.048,0.0031,0.0774,5.2696
cone2,0.8176,0.9469,0.4173,0.1028,0.0686,0.9350,0.01,0.0926,0.0266,1.2659
clust2,0.002,0.7888,0.1124,0.1995,0.1545,0.8971,0.156,0.5064,0.1434,1.4874
clust_ue2,0.0249,0.7797,0.1102,0.2004,0.1637,0.9015,0.196,0.5141,0.147,1.4215
clust_s2,0.0109,0.9295,0.0915,0.2081,0.2143,0.8312,0.17,0.5902,0.5392,1.9226
